District,Candidate,Votes
Alexandria,"Woods, Jack (Republican)",0
Anderson,"Ockomon, Kris (Democratic)",5626
,"Jozwiak, Robert (Libertarian)",1847
,"Smith, Kevin S. (Republican)",6030
Angola,"Hickman, Richard M. (Dick) (Democratic)",772
,"Nix, Harry Neil (Republican)",374
Attica,"Shepherd, Robert G. (Republican)",0
Auburn,"Yoder, Norman E. (Republican)",0
Aurora,"Orcutt, Jr, Richard L. (Rick) (Democratic)",292
,"Hastings, Jr, Donnie (Republican)",382
Austin,"Campbell, Douglas (Democratic)",356
,"Hickman, Kevin (Republican)",161
Batesville,"Fledderman, Richard C. (Rick) (Democratic)",1199
,"Dreyer, James L. (Jim) (Republican)",726
Bedford,"Butterfield, Rick (Republican)",888
,"Girgis, Shawna (Independent)",1783
Beech Grove,"Buckley, Dennis (Democratic)",2113
,"Dilk, Terry (Republican)",1342
Berne,"Gill, Ray (Democratic)",458
,"McKean, William (Bill) (Republican)",1064
Bicknell,"Flickinger, Jon G. (Democratic)",0
Bloomington,"Kruzan, Mark R. (Democratic)",0
Bluffton,"Ellis, Ted L. (Democratic)",0
Boonville,"Hendrickson, Pam (Democratic)",1151
,"Seaton, Sarah A. (Republican)",602
Brazil,"Wyndham, Brian L. (Democratic)",798
,"Sneddon, Thomas J. (T.J.) (Republican)",382
,"Lamb, Steven A. (Independent)",344
Butler,"Walter, Ron L. (Republican)",0
Cannelton,"Graves, Morris (Smokey) (Democratic)",185
,"Snyder, Mary Freeman (Republican)",356
Carmel,"Brainard, James (Republican)",0
Charlestown,"Ennis, Donna (Democratic)",1089
,"Hall, Bob (Republican)",1183
Clinton,"Gilfoy, Jr, Jack (Democratic)",658
,"Guinn, Robert G. (Republican)",112
Columbia City,"Heritier, Cathy (Democratic)",497
,"Wise, Scott (Libertarian)",115
,"Daniel, Ryan L. (Republican)",1162
Columbus,"Scalf, Priscilla (Democratic)",3084
,"Brown, Kristen (Republican)",6400
Connersville,"Gordon, Harold W. (Democratic)",1435
,"Urban, Leonard E. (Republican)",1449
Crawfordsville,"Coons, Charlie (Democratic)",1514
,"Barton, Todd D. (Republican)",1605
,"Rule, Tom (Independent)",34
Crown Point,"Uran, David D F (Democratic)",3502
,"Strong, Eldon (Republican)",2051
Decatur,"Schultz, John L. (Democratic)",0
Delphi,"Strasser, Randy J. (Democratic)",281
,"Hathaway, Gary L. (Republican)",247
,"Bogan, Ronald E. (Independent)",27
Dunkirk,"Watson, Daniel W. (Democratic)",269
,"Ritter, Jr, Eugene A. (Republican)",245
East Chicago,"Copeland, Anthony (Democratic)",3680
,"Santos, Sr, Arthur (Republican)",64
,"Aguilera, John C. (Independent)",898
Elkhart,"Moore, Dick (Democratic)",3195
,"Ashe, David M. (Republican)",1960
,"Gibson, Oscar (Independent)",95
Elwood,"Mort, Fred (Democratic)",707
,"Arnold, Ronald E. (Republican)",1258
Evansville,"Davis, Rick A. (Democratic)",10009
,"Winnecke, Lloyd W. (Republican)",11664
Fort Wayne,"Henry, Thomas C. (Democratic)",23149
,"Hughes, Paula (Republican)",21515
,"Ahrendt, D. Haley (Independent)",1781
Frankfort,"Greeno, H. Richard (Democratic)",384
,"McBarnes, Chris (Republican)",1907
,"Todd, Brett W. (Independent)",255
Franklin,"McGuinness, Joe (Republican)",2704
,"Paris, Fred L. (Independent)",1294
Garrett,"Kleeman, Thomas P. (Democratic)",531
,"Hoeffel, Tonya (Republican)",581
Gary,"Freeman-Wilson, Karen M. (Democratic)",11465
,"Smith, Jr, Charles R. (Republican)",384
,"Sparks-Wade, Lavetta (Independent)",995
,"Tarver, Eddie (Non-Partisan)",472
Gas City,"Leach, H. Larry (Democratic)",0
Goshen,"Kauffman, Allan J. (Democratic)",3700
,"Riegsecker, Donald E. (Don) (Republican)",2523
Greencastle,"Murray, Sue (Democratic)",0
Greendale,"Hedrick, Doug (Democratic)",709
,"Libbert, Stephanie B. (Republican)",574
Greenfield,"Miller, Phil (Libertarian)",1336
,"Pasco, Richard (Republican)",1847
Greensburg,"Dornich, Kenneth V. (Democratic)",1048
,"Herbert, Gary L. (Republican)",1273
Greenwood,"Spoonamore, Jeff (Libertarian)",370
,"Myers, Mark W. (Republican)",4166
,"Payne, David A. (Independent)",2197
Hammond,"McDermott, Jr, Thomas M. (Democratic)",9425
,"Janiec, George T. (Republican)",2330
Hartford City,"Hodgin, Ben (Democratic)",873
,"Ehrhart, Jim E. (Republican)",526
Hobart,"Snedecor, Brian K. (Democratic)",1981
Huntingburg,"Kemp, Janet L. (Democratic)",532
,"Spinner, Dennis W. (Republican)",772
Huntington,"Hiles, Tony L. (Democratic)",760
,"Fetters, Brooks (Republican)",1816
,"Rinehart, Jerel L. (Jay) (Independent)",132
Indianapolis,"Kennedy, Melina (Democratic)",84993
,"Bowen, Christopher (OD) (Libertarian)",2677
,"Ballard, Greg (Republican)",92525
,"Cortellini, Conrad F. (Independent)",122
Jasonville,"Terrell, Sr, Roy L. (Democratic)",0
Jasper,"Burger, John G. (Democratic)",1577
,"Seitz, Terry (Republican)",3328
Jeffersonville,"Galligan, Thomas R. (Democratic)",4675
,"Isgrigg, Robert (Bob) (Libertarian)",629
,"Moore, Mike (Republican)",5396
Jonesboro,"Boatwright-Orr, Leslie (Democratic)",176
,"Poling, Terry (Republican)",186
,"Davis, Norma (Independent)",36
Kendallville,"Handshoe, W. S. (Republican)",0
Knox,"Chambers, Rick L. (Democratic)",0
Kokomo,"Goodnight, Greg E. (Democratic)",5598
,"Kern, Eric S. (Republican)",2363
Lafayette,"Roswarski, Tony (Democratic)",6074
Lake Station,"Soderquist, Keith (Democratic)",945
,"Robbins, Cynthia (Republican)",340
LaPorte,"Chroback, Kathleen A (Democratic)",1444
,"Milo, Blair E (Republican)",2285
Lawrence,"Jessup, Dean E. (Democratic)",5092
,"Ricketts, Paul (Republican)",4303
Lawrenceburg,"Carr, Dennis R. (Democratic)",562
,"Mollaun, Kelly (Republican)",500
Lebanon,"Lewis, Harold (Huck) (Republican)",0
Ligonier,"Schultz, Andy (Democratic)",134
,"Fisel, Patricia (Patty) (Republican)",312
Linton,"Wilkes, John A. (Democratic)",0
Logansport,"Fincher Sr., Michael E. (Democratic)",1338
,"Franklin, Ted (Republican)",2023
,"Mathew, Segar (Independent)",411
Loogootee,"Harty, Noel D. (Democratic)",0
Madison,"Armstrong, Timothy L. (Democratic)",1497
,"Welch, Damon (Republican)",1863
Marion,"Johnson, Lynn Streib (Democratic)",2242
,"Seybold, Wayne W. (Republican)",2808
Martinsville,"Hogan, Shawn (Democratic)",357
,"Deckard, Phil R. (Republican)",1272
Michigan City,"Meer, Ronald A. (Democratic)",2678
,"Harris, Keith A. (Republican)",1610
,"Moldenhauer, Nancy A. (Independent)",315
Mishawaka,"Fry, Craig R. (Democratic)",2053
,"Wood, David A. (Republican)",6618
Mitchell,"Pruett, Gary L. (Democratic)",651
,"Terrell, Dan (Republican)",564
Monticello,"Houston, Kenneth (Kenny) P. (Democratic)",817
,"Thompson, Jason A. (Republican)",633
Montpelier,"Brown-Mealy, Karen (Democratic)",133
,"Bantz, Kathy J. (Republican)",223
Mt. Vernon,"Tucker, John (Democratic)",1345
,"Watzlavik, Paul D. (Republican)",753
Muncie,"Tyler, Dennis (Democratic)",7823
,"McShurley, Sharon (Republican)",6034
Nappanee,"Thompson, Larry L. (Republican)",0
New Albany,"Gahan, Jeff M. (Democratic)",4507
,"Keister, Thomas (Libertarian)",88
,"Bagshaw, Dale D.M. (Republican)",1389
,"Messer, Jack (Independent)",1024
New Castle,"York, Greg (Democratic)",2655
,"Nipp, John Mark (Republican)",628
,"Baker, Debra (Debe) (Independent)",226
New Haven,"McDonald, Terry (Republican)",1345
Noblesville,"Ditslear, John (Republican)",4283
,"Corbett, Mike (Independent)",2292
North Vernon,"Campbell, Harold (Soup) (Democratic)",857
,"Kelley, Jack (Republican)",712
,"Green, Robert (Bob) D. (Independent)",93
Oakland City,"Cooper, Sr., Alfred J. (Democratic)",280
,"Wirth, Hugh (Independent)",348
Peru,"Makin, David (Democratic)",324
,"Walker, Jim (Republican)",1053
Petersburg,"Craig, Jonathan W. (Republican)",0
Plymouth,"Vinall, James (Democratic)",558
,"Senter, Mark W (Republican)",978
Portage,"Velazquez, Olga (Democratic)",3592
,"Snyder, Jim (Republican)",3830
Portland,"Geesaman, Randy D (Democratic)",738
,"Hosier, Bruce W (Republican)",630
,"McGalliard, Richard G (Independent)",41
Princeton,"Hurst, Robert J (Democratic)",922
,"Smith, Sherri (Republican)",756
Rensselaer,"Wood, Steve (Democratic)",798
,"Arihood, Herbert H (Republican)",570
Richmond,"Hutton, Sarah (Sally) (Democratic)",3367
,"Goodwin, Bob (Republican)",2435
Rising Sun,"Marksberry, William (Bill) (Democratic)",383
,"Roeder, Branden L (Republican)",386
Rochester,"Roe, Rolland (Dick) (Democratic)",756
,"Smiley, Mark L (Republican)",784
Rockport,"Goffinet, Harold D (Republican)",434
,"Alvey, Joseph C (Independent)",98
Rushville,"Goins, William R (Democratic)",727
,"O'Neal, Debbie (Libertarian)",284
,"Pavey, Mike (Republican)",839
Salem,"Bower, David L (Democratic)",925
,"Cooper, Brian ""Opie"" (Republican)",116
Scottsburg,"Sebastian, Chuck (Democratic)",644
,"Graham, William H (Republican)",756
,"Gluck, RJ (Independent)",57
Seymour,"Luedeman, Craig A (Republican)",0
Shelbyville,"Debaun, Thomas D (Democratic)",2293
,"Sponsel, Jeff (Republican)",1311
South Bend,"Buttigieg, Peter Paul M (Democratic)",10991
,"Farrell, Patrick M (Libertarian)",1008
,"Curry, Jr., Norris W (Republican)",2884
Southport,"Testruth, Vernon Jesse (Republican)",344
Sullivan,"Lamb, Clint D (Democratic)",624
,"Stanley, Ron (Republican)",378
Tell City,"Ewing, Barbara (Democratic)",0
Terre Haute,"Nation, Fred J (Democratic)",3443
,"Bennett, Duke A (Republican)",7553
,"Bissey II, Robert (Bob) E. (Independent)",5
Tipton,"Bond, Marty (Democratic)",442
,"Havens, Don (Republican)",854
Union City,"Hernandez, Vincent (Democratic)",316
,"Conklin, Bryan K (Republican)",436
Valparaiso,"Costas, Jon (Republican)",2964
,"Casland, Robert ""Bob"" (Independent)",1389
Vincennes,"Yochum, Joe (Democratic)",2340
,"Mooney, Terry D. (Republican)",1247
Wabash,"Short, Marcia (Democratic)",798
,"Vanlandingham, Robert B (Republican)",1281
Warsaw,"Thallemer, Joe M (Republican)",942
,"Opperud, Jerry D (Independent)",461
Washington,"Haag, Larry (Democratic)",1439
,"Wellman, Joe (Republican)",1562
West Lafayette,"Polles, John S (Democratic)",1084
,"Dennis, John R (Republican)",2531
Westfield,"Maddox, M. Kurtis (Democratic)",194
,"Waite, Mike (Libertarian)",245
,"Cook, Andy (Republican)",2703
,"Hoard, Todd (Independent)",1008
Whiting,"Stahura, Joe (Democratic)",253
Winchester,"Simmons, Joni (Democratic)",379
,"Croyle, Steven D (Republican)",897
Woodburn,"Hoeppner, Richard A (Democratic)",170
,"Meadows, Bill (Republican)",127
