Alexandria,"Richardson, Ron D. (Democratic)",708
"Woods, Jack (Republican)",441,
Anderson,"Broderick, Jr., Thomas (Democratic)",6455
"Smith, Kevin S. (Republican)",6048,
Angola,"Hickman, Richard M. (Dick) (Democratic)",272
Attica,"Roderick, Duane (Republican)",187
Auburn,"Yoder, Norman E. (Republican)",0
Aurora,"McPeek, Jared Ryan (Democratic)",185
"Hastings, Jr., Donnie (Republican)",316,
Austin,"Bush, Dillo (Democratic)",406
"White, John (Republican)",88,
Batesville,"Vonderheide, Elmer (Mike) (Democratic)",452
"Bettice, Michael A. (Republican)",1363,
Bedford,"Bough, Bradford K. (Brad) (Republican)",760
"Girgis, Shawna (Independent)",1483,
Beech Grove,"Buckley, Dennis B. (Democratic)",1873
"McDonald, Edward (Republican)",1218,
Berne,"McKean, W.M. (Bill) (Republican)",1029
Bicknell,"Estabrook, Thomas (Democratic)",507
"Hooten, Ray (Republican)",193,
Bloomington,"Hamilton, John (Democratic)",6248
"Turnbull, John D. (Republican)",1822,
Bluffton,"Ellis, Ted (Democratic)",408
Boonville,"Wyatt, Charles R. (Democratic)",965
"Greer, Michael (Republican)",363,
"Mayer, Mark (Independent)",268,
Brazil,"Wyndham, Brian L. (Democratic)",735
Butler,"Walter, Ron L. (Republican)",137
"Wicker, Cloyd Dwayne (Independent)",88,
Cannelton,"Anderson, Michael R. (Democratic)",141
"Snyder, Mary Freeman (Republican)",239,
Carmel,"Brainard, James (Republican)",0
Charlestown,"Shepherd, Sr., Jeff (Democratic)",1144
"Hall, Bob (Republican)",1445,
Clinton,"Gilfoy, Jr., Jack (Democratic)",380
Columbia City,"Buchanan, Dick (Democratic)",538
"Daniel, Ryan L. (Republican)",1671,
Columbus,"Lienhoop, James D. (Jim) (Republican)",4020
Connersville,"Gordon, Harold W. (Democratic)",1005
"Doub, Brian (Republican)",995,
"Dunn, Holly J. (Independent)",738,
Covington,"Crain, Bradley David (Republican)",0
Crawfordsville,"Barton, Todd D. (Republican)",1631
Crown Point,"Uran, David D.F. (Democratic)",2501
Decatur,"Miller, Michael R. (Democratic)",903
"Meyer, Ken (Republican)",1203,
Delphi,"Wilson, Jack (Democratic)",146
"Hayden, Louis (Republican)",114,
"Evans, Shane M. (Independent)",321,
Dunkirk,"Watson, Daniel (Democratic)",185
"Ritter, Gene (Republican)",212,
East Chicago,"Copeland, Anthony (Democratic)",2111
"Santos, Sr., Arthur (Republican)",204,
